AppId, UserId, TimeStamp, OnBattery, ScreenOn, BatterySaverActive, LowPowerEpochActive, Foreground, InteractivityState, Container, Committed, TimeInMSec, MeasuredBitmap, EnergyLoss, CPUEnergyConsumption, SocEnergyConsumption, DisplayEnergyConsumption, DiskEnergyConsumption, NetworkEnergyConsumption, MBBEnergyConsumption, OtherEnergyConsumption, EmiEnergyConsumption, CPUEnergyConsumptionWorkOnBehalf, CPUEnergyConsumptionAttributed, TotalEnergyConsumption
\Device\HarddiskVolume3\Windows\System32\conhost.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 30916, b000000000, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
\Device\HarddiskVolume3\Windows\System32\conhost.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Focus, FALSE, TRUE, 30916, b000000000, 0, 103, 0, 26300, 0, 0, 0, 0, 0, 0, 0, 26403
\Device\HarddiskVolume3\Windows\System32\conhost.exe, S-1-5-21-3210033539-3265524892-1105095863-1006, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 401
\Device\HarddiskVolume3\Windows\System32\svchost.exe [LocalServiceNoNetwork] [DPS], S-1-5-19, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 1961, 0, 0, 10, 0, 0, 0, 0, 12, 495, 1971
\Device\HarddiskVolume3\Windows\System32\dwm.exe, S-1-5-90-0-1, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Minimized, FALSE, TRUE, 30916, b000000000, 0, 3017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3017
\Device\HarddiskVolume3\Windows\System32\dwm.exe, S-1-5-90-0-2, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Minimized, FALSE, TRUE, 30916, b000000000, 0, 7206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7206
\Device\HarddiskVolume3\Windows\explorer.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 30916, b000000000, 0, 1924, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1924
\Device\HarddiskVolume3\Windows\explorer.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Focus, FALSE, TRUE, 30916, b000000000, 0, 28252, 0, 37958, 18, 0, 0, 0, 0, 29, 312, 66228
\Device\HarddiskVolume3\Windows\explorer.exe, S-1-5-21-3210033539-3265524892-1105095863-1006, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 30916, b000000000, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 17, 185
\Device\HarddiskVolume3\Program Files\Microsoft SQL Server\MSSQL15.SQLEXPRESS\MSSQL\Binn\sqlservr.exe, S-1-5-80-3880006512-4290199581-1648723128-3569869737-3631323133, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 611
vmmem, S-1-5-83-1-1345184531-1216450621-1748305323-4205298097, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 8360, 0, 0, 1, 0, 0, 0, 0, 0, 2, 8361
Unknown, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 0, b000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
\Device\HarddiskVolume3\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 149663, 0, 0, 4, 0, 0, 0, 0, 0, 87, 149667
Microsoft.Windows.ShellExperienceHost_10.0.20279.1_neutral_neutral_cw5n1h2txyewy, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Microsoft.Windows.ShellExperienceHost_10.0.20279.1_neutral_neutral_cw5n1h2txyewy, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 30916, b000000000, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150
\Device\HarddiskVolume3\Windows\System32\svchost.exe [LocalServiceNoNetwork], S-1-5-19, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
MicrosoftWindows.Client.CBS_120.27512.10351.0_x64__cw5n1h2txyewy, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 186, 0, 0, 0, 0, 0, 0, 0, 57, 0, 186
MicrosoftWindows.Client.CBS_120.27512.10351.0_x64__cw5n1h2txyewy, S-1-5-21-3210033539-3265524892-1105095863-1006, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
\Device\HarddiskVolume3\Windows\System32\svchost.exe [DcomLaunch], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 202, 0, 0, 2, 0, 0, 0, 0, 624, 58, 204
\Device\HarddiskVolume3\Windows\System32\hvsirdpclient.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Minimized, FALSE, TRUE, 30916, b000000000, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 14, 171
\Device\HarddiskVolume3\Windows\System32\hvsirdpclient.exe, S-1-5-21-3210033539-3265524892-1105095863-1006, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 30916, b000000000, 0, 461, 0, 0, 0, 0, 0, 0, 0, 0, 25, 461
\Device\HarddiskVolume3\Windows\System32\svchost.exe [NetworkService] [Dnscache], S-1-5-20, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 158, 0, 0, 0, 267, 0, 0, 0, 499, 0, 425
\Device\HarddiskVolume3\Windows\System32\svchost.exe [NetSvcs] [hns], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 173, 255
\Device\HarddiskVolume3\Windows\System32\svchost.exe [netsvcs] [UserManager], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 0, 24
Microsoft.Windows.StartMenuExperienceHost_10.0.20279.1_neutral_neutral_cw5n1h2txyewy, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Minimized, FALSE, TRUE, 30916, b000000000, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
\Device\HarddiskVolume3\Program Files\Windows Defender Advanced Threat Protection\SenseNdr.exe, S-1-5-19, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73
\Device\HarddiskVolume3\Windows\System32\svchost.exe [netsvcs] [wuauserv], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288
\Device\HarddiskVolume3\Windows\System32\services.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 5315, 0, 0, 0, 0, 0, 0, 0, 1196, 0, 5315
System, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 17053, 0, 0, 340, 735, 0, 0, 0, 232, 144, 18128
\Device\HarddiskVolume3\Program Files\PowerToys\PowerToys.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 30916, b000000000, 0, 660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 660
\Device\HarddiskVolume3\ProgramData\Microsoft\Windows Defender\Platform\4.18.2011.6-0\MpCmdRun.exe, S-1-5-20, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 352, 0, 0, 4, 0, 0, 0, 0, 0, 4, 356
\Device\HarddiskVolume3\Windows\System32\fontdrvhost.exe, S-1-5-96-0-2, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
\Device\HarddiskVolume3\Windows\System32\fontdrvhost.exe, S-1-5-96-0-1, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume3\Windows\System32\svchost.exe [netsvcs] [LanmanServer], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume3\Windows\System32\svchost.exe [netsvcs] [ShellHWDetection], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hdxsstm.inf_amd64_1a1e8196b6801ccf\RtkAudUService64.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume3\Program Files\Windows Defender Advanced Threat Protection\SenseCncProxy.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 508, 0, 0, 0, 1, 0, 0, 0, 113, 58, 509
\Device\HarddiskVolume3\Windows\System32\svchost.exe [UnistackSvcGroup] [WpnUserService], S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume3\Windows\System32\svchost.exe [UnistackSvcGroup] [WpnUserService], S-1-5-21-3210033539-3265524892-1105095863-1006, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
\Device\HarddiskVolume3\Windows\System32\svchost.exe [ClipboardSvcGroup] [cbdhsvc], S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume3\Windows\System32\svchost.exe [ClipboardSvcGroup] [cbdhsvc], S-1-5-21-3210033539-3265524892-1105095863-1006, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
\Device\HarddiskVolume3\Windows\System32\svchost.exe [NetSvcs] [iphlpsvc], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 13, 0, 0, 0, 84, 0, 0, 0, 0, 1, 97
\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\surfaceservicenulldriver.inf_amd64_5010fd9a6f8fa5e7\SurfaceService.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
\Device\HarddiskVolume3\Windows\System32\svchost.exe [LocalService] [netprofm], S-1-5-19, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 210, 0, 0, 0, 0, 0, 0, 0, 2, 55, 210
\Device\HarddiskVolume3\Windows\System32\svchost.exe [LocalServiceNetworkRestricted] [SmsRouter], S-1-5-19, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume3\Windows\System32\svchost.exe [netsvcs] [Themes], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139
\Device\HarddiskVolume3\Program Files (x86)\Microsoft Visual Studio\2019\Enterprise\Common7\IDE\PerfWatson2.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 1329, 0, 0, 0, 85, 0, 0, 0, 0, 0, 1414
\Device\HarddiskVolume3\Windows\System32\lsass.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 505, 0, 0, 0, 0, 0, 0, 0, 135, 0, 505
\Device\HarddiskVolume3\Windows\System32\svchost.exe [LocalServiceNetworkRestricted] [BTAGService], S-1-5-19, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume3\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 16732, 0, 0, 39, 474, 0, 0, 0, 0, 228, 17245
\Device\HarddiskVolume3\Program Files\Common Files\microsoft shared\ink\TabTip.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86
\Device\HarddiskVolume3\Program Files\Common Files\microsoft shared\ink\TabTip.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
\Device\HarddiskVolume3\Program Files\Common Files\microsoft shared\ink\TabTip.exe, S-1-5-21-3210033539-3265524892-1105095863-1006, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
\Device\HarddiskVolume3\Windows\System32\svchost.exe [appmodel] [StateRepository], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 106, 0, 0, 0, 0, 0, 0, 0, 1, 0, 106
\Device\HarddiskVolume3\Windows\System32\svchost.exe [netsvcs] [XblAuthManager], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Registry, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 6, 0, 0, 15, 0, 0, 0, 0, 0, 0, 21
\Device\HarddiskVolume3\Windows\System32\smartscreen.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume3\Windows\System32\svchost.exe [netsvcs] [TokenBroker], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 20, 0, 0, 0, 0, 0, 0, 0, 39, 0, 20
\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 156, 0, 0, 0, 0, 0, 0, 0, 1, 0, 156
\Device\HarddiskVolume3\Windows\System32\spoolsv.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 64, 0, 0, 0, 0, 0, 0, 0, 28, 0, 64
\Device\HarddiskVolume3\Windows\System32\svchost.exe [PenService] [PenService], S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume3\Windows\System32\svchost.exe [LocalServiceAndNoImpersonation] [SCardSvr], S-1-5-19, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume3\Windows\System32\svchost.exe [LocalSystemNetworkRestricted] [WdiSystemHost], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume3\Windows\System32\svchost.exe [LocalSystemNetworkRestricted], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 281, 0, 0, 0, 0, 0, 0, 0, 53, 0, 281
\Device\HarddiskVolume3\Program Files\Luculent Systems\Bluetooth Tweaker\BtTweakerSvc.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume3\Windows\System32\svchost.exe [RPCSS], S-1-5-20, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 2456, 0, 0, 0, 0, 0, 0, 0, 684, 839, 2456
Microsoft.WindowsTerminal_1.4.3243.0_x64__8wekyb3d8bbwe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 385, 0, 0, 4, 0, 0, 0, 0, 357, 16, 389
\Device\HarddiskVolume3\Windows\System32\sihost.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
\Device\HarddiskVolume3\Windows\System32\sihost.exe, S-1-5-21-3210033539-3265524892-1105095863-1006, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
Microsoft.LockApp_10.0.20279.1_neutral__cw5n1h2txyewy, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
Microsoft.LockApp_10.0.20279.1_neutral__cw5n1h2txyewy, S-1-5-21-3210033539-3265524892-1105095863-1006, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
Microsoft.Windows.Search_1.15.0.20279_neutral_neutral_cw5n1h2txyewy, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, Minimized, FALSE, TRUE, 30916, b000000000, 0, 10, 0, 0, 0, 511, 0, 0, 0, 0, 0, 521
Microsoft.Windows.Search_1.15.0.20279_neutral_neutral_cw5n1h2txyewy, S-1-5-21-3210033539-3265524892-1105095863-1006, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume3\Windows\System32\svchost.exe [LocalSystemNetworkRestricted] [DeviceAssociationService], S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
